Epoch 71 | Time: 92.5s | MSE Loss: 0.2031 | Acc (±15°): 60.53% | LR: 0.000352
Epoch 72 | Time: 97.9s | MSE Loss: 0.2054 | Acc (±15°): 61.12% | LR: 0.000343
Epoch 73 | Time: 92.9s | MSE Loss: 0.2010 | Acc (±15°): 61.70% | LR: 0.000334
Epoch 74 | Time: 99.2s | MSE Loss: 0.1991 | Acc (±15°): 61.04% | LR: 0.000325
Epoch 75 | Time: 91.4s | MSE Loss: 0.1995 | Acc (±15°): 62.24% | LR: 0.000316
Epoch 76 | Time: 101.3s | MSE Loss: 0.2075 | Acc (±15°): 60.07% | LR: 0.000307
Epoch 77 | Time: 93.9s | MSE Loss: 0.2033 | Acc (±15°): 60.91% | LR: 0.000298
Epoch 78 | Time: 100.8s | MSE Loss: 0.2063 | Acc (±15°): 60.37% | LR: 0.000289
Epoch 79 | Time: 95.4s | MSE Loss: 0.1982 | Acc (±15°): 61.45% | LR: 0.000280
Epoch 80 | Time: 96.2s | MSE Loss: 0.1998 | Acc (±15°): 61.25% | LR: 0.000271
Epoch 81 | Time: 91.8s | MSE Loss: 0.2073 | Acc (±15°): 60.61% | LR: 0.000262
Epoch 82 | Time: 90.9s | MSE Loss: 0.1985 | Acc (±15°): 62.07% | LR: 0.000253
Epoch 83 | Time: 90.5s | MSE Loss: 0.1975 | Acc (±15°): 62.00% | LR: 0.000244
Epoch 84 | Time: 92.3s | MSE Loss: 0.1953 | Acc (±15°): 63.05% | LR: 0.000235
Epoch 85 | Time: 92.8s | MSE Loss: 0.2010 | Acc (±15°): 61.77% | LR: 0.000226
Epoch 86 | Time: 92.6s | MSE Loss: 0.1916 | Acc (±15°): 62.66% | LR: 0.000217
Epoch 87 | Time: 91.8s | MSE Loss: 0.1980 | Acc (±15°): 62.35% | LR: 0.000208
Epoch 88 | Time: 92.2s | MSE Loss: 0.1983 | Acc (±15°): 62.40% | LR: 0.000199
Epoch 89 | Time: 93.2s | MSE Loss: 0.1869 | Acc (±15°): 62.48% | LR: 0.000190
Epoch 90 | Time: 92.4s | MSE Loss: 0.1982 | Acc (±15°): 62.63% | LR: 0.000181
Epoch 91 | Time: 92.3s | MSE Loss: 0.1934 | Acc (±15°): 62.55% | LR: 0.000172
Epoch 92 | Time: 90.9s | MSE Loss: 0.1961 | Acc (±15°): 62.21% | LR: 0.000163
Epoch 93 | Time: 93.1s | MSE Loss: 0.1933 | Acc (±15°): 62.46% | LR: 0.000154
Epoch 94 | Time: 91.6s | MSE Loss: 0.1965 | Acc (±15°): 62.90% | LR: 0.000145
Epoch 95 | Time: 93.4s | MSE Loss: 0.2070 | Acc (±15°): 61.05% | LR: 0.000136
Epoch 96 | Time: 90.9s | MSE Loss: 0.2067 | Acc (±15°): 61.62% | LR: 0.000127
Epoch 97 | Time: 95.8s | MSE Loss: 0.1949 | Acc (±15°): 62.23% | LR: 0.000118
Epoch 98 | Time: 91.8s | MSE Loss: 0.1928 | Acc (±15°): 62.03% | LR: 0.000109
Epoch 99 | Time: 99.8s | MSE Loss: 0.1950 | Acc (±15°): 62.25% | LR: 0.000100
Epoch 0 | Time: 178.8s | MSE Loss: 0.2102 | Acc (±15°): 59.78% | LR: 0.000991
Epoch 0 | Time: 182.4s | MSE Loss: 0.2055 | Acc (±15°): 60.40% | LR: 0.000991
Epoch 1 | Time: 185.4s | MSE Loss: 0.2022 | Acc (±15°): 60.90% | LR: 0.000982
Epoch 2 | Time: 186.8s | MSE Loss: 0.2035 | Acc (±15°): 60.52% | LR: 0.000973
Epoch 3 | Time: 186.4s | MSE Loss: 0.2073 | Acc (±15°): 60.25% | LR: 0.000964
Epoch 4 | Time: 184.7s | MSE Loss: 0.2157 | Acc (±15°): 58.82% | LR: 0.000955
Epoch 5 | Time: 187.5s | MSE Loss: 0.2031 | Acc (±15°): 60.82% | LR: 0.000946
Epoch 6 | Time: 185.9s | MSE Loss: 0.1998 | Acc (±15°): 61.32% | LR: 0.000937
Epoch 7 | Time: 184.7s | MSE Loss: 0.2017 | Acc (±15°): 60.74% | LR: 0.000928
Epoch 8 | Time: 184.2s | MSE Loss: 0.2055 | Acc (±15°): 60.98% | LR: 0.000919
Epoch 9 | Time: 188.8s | MSE Loss: 0.1993 | Acc (±15°): 61.09% | LR: 0.000910
Epoch 10 | Time: 196.3s | MSE Loss: 0.2103 | Acc (±15°): 59.50% | LR: 0.000901
Epoch 0 | Time: 193.5s | MSE Loss: 0.2171 | Acc (±15°): 56.80% | LR: 0.000991
Epoch 1 | Time: 208.9s | MSE Loss: 0.2098 | Acc (±15°): 57.54% | LR: 0.000982
Epoch 2 | Time: 199.7s | MSE Loss: 0.2363 | Acc (±15°): 53.93% | LR: 0.000973
Epoch 3 | Time: 188.1s | MSE Loss: 0.2431 | Acc (±15°): 53.09% | LR: 0.000964
Epoch 0 | Time: 179.7s | MSE Loss: 0.2152 | Acc (±15°): 57.46% | LR: 0.000991
Epoch 1 | Time: 177.4s | MSE Loss: 0.2169 | Acc (±15°): 56.97% | LR: 0.000982
Epoch 2 | Time: 176.2s | MSE Loss: 0.2103 | Acc (±15°): 57.88% | LR: 0.000973
Epoch 3 | Time: 177.5s | MSE Loss: 0.2114 | Acc (±15°): 57.36% | LR: 0.000964
Epoch 4 | Time: 179.6s | MSE Loss: 0.2135 | Acc (±15°): 57.46% | LR: 0.000955
Epoch 5 | Time: 179.8s | MSE Loss: 0.2160 | Acc (±15°): 57.49% | LR: 0.000946
Epoch 6 | Time: 177.0s | MSE Loss: 0.2104 | Acc (±15°): 58.06% | LR: 0.000937
Epoch 7 | Time: 181.1s | MSE Loss: 0.2175 | Acc (±15°): 56.71% | LR: 0.000928
